fiscal_year,year,month,scheme,interest_rate,units,note
1995-96,1996,January,Public Provident Fund,12,interest_rate in percentage,
1995-96,1996,February,Public Provident Fund,12,interest_rate in percentage,
1995-96,1996,March,Public Provident Fund,12,interest_rate in percentage,
1996-97,1996,April,Public Provident Fund,12,interest_rate in percentage,
1996-97,1996,May,Public Provident Fund,12,interest_rate in percentage,
1996-97,1996,June,Public Provident Fund,12,interest_rate in percentage,
1996-97,1996,July,Public Provident Fund,12,interest_rate in percentage,
1996-97,1996,August,Public Provident Fund,12,interest_rate in percentage,
1996-97,1996,September,Public Provident Fund,12,interest_rate in percentage,
1996-97,1996,October,Public Provident Fund,12,interest_rate in percentage,
1996-97,1996,November,Public Provident Fund,12,interest_rate in percentage,
1996-97,1996,December,Public Provident Fund,12,interest_rate in percentage,
1994-95,1995,January,Public Provident Fund,12,interest_rate in percentage,
1994-95,1995,February,Public Provident Fund,12,interest_rate in percentage,
1994-95,1995,March,Public Provident Fund,12,interest_rate in percentage,
1995-96,1995,April,Public Provident Fund,12,interest_rate in percentage,
1995-96,1995,May,Public Provident Fund,12,interest_rate in percentage,
1995-96,1995,June,Public Provident Fund,12,interest_rate in percentage,
1995-96,1995,July,Public Provident Fund,12,interest_rate in percentage,
1995-96,1995,August,Public Provident Fund,12,interest_rate in percentage,
1995-96,1995,September,Public Provident Fund,12,interest_rate in percentage,
1995-96,1995,October,Public Provident Fund,12,interest_rate in percentage,
1995-96,1995,November,Public Provident Fund,12,interest_rate in percentage,
1995-96,1995,December,Public Provident Fund,12,interest_rate in percentage,
1993-94,1994,January,Public Provident Fund,12,interest_rate in percentage,
1993-94,1994,February,Public Provident Fund,12,interest_rate in percentage,
1993-94,1994,March,Public Provident Fund,12,interest_rate in percentage,
1994-95,1994,April,Public Provident Fund,12,interest_rate in percentage,
1994-95,1994,May,Public Provident Fund,12,interest_rate in percentage,
1994-95,1994,June,Public Provident Fund,12,interest_rate in percentage,
1994-95,1994,July,Public Provident Fund,12,interest_rate in percentage,
1994-95,1994,August,Public Provident Fund,12,interest_rate in percentage,
1994-95,1994,September,Public Provident Fund,12,interest_rate in percentage,
1994-95,1994,October,Public Provident Fund,12,interest_rate in percentage,
1994-95,1994,November,Public Provident Fund,12,interest_rate in percentage,
1994-95,1994,December,Public Provident Fund,12,interest_rate in percentage,
1992-93,1993,January,Public Provident Fund,12,interest_rate in percentage,
1992-93,1993,February,Public Provident Fund,12,interest_rate in percentage,
1992-93,1993,March,Public Provident Fund,12,interest_rate in percentage,
1993-94,1993,April,Public Provident Fund,12,interest_rate in percentage,
1993-94,1993,May,Public Provident Fund,12,interest_rate in percentage,
1993-94,1993,June,Public Provident Fund,12,interest_rate in percentage,
1993-94,1993,July,Public Provident Fund,12,interest_rate in percentage,
1993-94,1993,August,Public Provident Fund,12,interest_rate in percentage,
1993-94,1993,September,Public Provident Fund,12,interest_rate in percentage,
1993-94,1993,October,Public Provident Fund,12,interest_rate in percentage,
1993-94,1993,November,Public Provident Fund,12,interest_rate in percentage,
1993-94,1993,December,Public Provident Fund,12,interest_rate in percentage,
1991-92,1992,January,Public Provident Fund,12,interest_rate in percentage,
1991-92,1992,February,Public Provident Fund,12,interest_rate in percentage,
1991-92,1992,March,Public Provident Fund,12,interest_rate in percentage,
1992-93,1992,April,Public Provident Fund,12,interest_rate in percentage,
1992-93,1992,May,Public Provident Fund,12,interest_rate in percentage,
1992-93,1992,June,Public Provident Fund,12,interest_rate in percentage,
1992-93,1992,July,Public Provident Fund,12,interest_rate in percentage,
1992-93,1992,August,Public Provident Fund,12,interest_rate in percentage,
1992-93,1992,September,Public Provident Fund,12,interest_rate in percentage,
1992-93,1992,October,Public Provident Fund,12,interest_rate in percentage,
1992-93,1992,November,Public Provident Fund,12,interest_rate in percentage,
1992-93,1992,December,Public Provident Fund,12,interest_rate in percentage,
1990-91,1991,January,Public Provident Fund,12,interest_rate in percentage,
1990-91,1991,February,Public Provident Fund,12,interest_rate in percentage,
1990-91,1991,March,Public Provident Fund,12,interest_rate in percentage,
1991-92,1991,April,Public Provident Fund,12,interest_rate in percentage,
1991-92,1991,May,Public Provident Fund,12,interest_rate in percentage,
1991-92,1991,June,Public Provident Fund,12,interest_rate in percentage,
1991-92,1991,July,Public Provident Fund,12,interest_rate in percentage,
1991-92,1991,August,Public Provident Fund,12,interest_rate in percentage,
1991-92,1991,September,Public Provident Fund,12,interest_rate in percentage,
1991-92,1991,October,Public Provident Fund,12,interest_rate in percentage,
1991-92,1991,November,Public Provident Fund,12,interest_rate in percentage,
1991-92,1991,December,Public Provident Fund,12,interest_rate in percentage,
1989-90,1990,January,Public Provident Fund,12,interest_rate in percentage,
1989-90,1990,February,Public Provident Fund,12,interest_rate in percentage,
